location,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,Oceania,Oceania,Oceania,Oceania,Oceania,Oceania,Oceania,Oceania,Oceania,Oceania,Oceania,Oceania
Belgium,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe
Brazil,Central and South America,Central/Western Europe,Central and South America,Central and South America,Central and South America,Central and South America,Central and South America,Central and South America,Central and South America,Central and South America,Central and South America,Central and South America
Canada,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
Croatia,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Southern Europe,Southern Europe
Denmark,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe
England,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom
Finland,Central/Western Europe,Central/Western Europe,Northern Europe,Central/Western Europe,Northern Europe,Central/Western Europe,Central/Western Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe
France,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe
Germany,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe
Iceland,Central/Western Europe,North America,Central/Western Europe,Northern Europe,Northern Europe,Central/Western Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Central/Western Europe,Northern Europe
Ireland,Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,North America,United Kingdom,United Kingdom,United Kingdom,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe
Italy,Central/Western Europe,Southern Europe,Central/Western Europe,Southern Europe,Southern Europe,Southern Europe,Southern Europe,Southern Europe,Southern Europe,Southern Europe,Southern Europe,Southern Europe
Luxembourg,United Kingdom,United Kingdom,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe
Netherlands,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe
New Zealand,United Kingdom,Oceania,Oceania,Oceania,Oceania,Oceania,Oceania,Oceania,Oceania,Oceania,Oceania,Oceania
Northern Ireland,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,Central/Western Europe
Norway,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe
Poland,Eastern Europe,North America,Eastern Europe,Central/Western Europe,North America,Central/Western Europe,Central/Western Europe,Eastern Europe,Eastern Europe,Eastern Europe,Eastern Europe,Eastern Europe
Scotland,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom
Spain,Central/Western Europe,Central/Western Europe,Central/Western Europe,United Kingdom,United Kingdom,United Kingdom,Southern Europe,Southern Europe,Southern Europe,Southern Europe,Southern Europe,Southern Europe
Sweden,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe
"United States, Alabama",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Alaska",Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Arizona",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Arkansas",United Kingdom,United Kingdom,United Kingdom,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, California",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Colorado",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Connecticut",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Delaware",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Florida",North America,Central/Western Europe,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Georgia",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Hawaii",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Idaho",North America,North America,North America,North America,North America,North America,Central/Western Europe,North America,North America,North America,North America,North America
"United States, Illinois",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Indiana",North America,North America,Central/Western Europe,North America,Central/Western Europe,North America,North America,North America,North America,North America,North America,North America
"United States, Iowa",North America,North America,North America,North America,Central/Western Europe,North America,North America,North America,North America,North America,North America,North America
"United States, Kansas",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Kentucky",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Louisiana",Central/Western Europe,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Maine",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Maryland",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Massachusetts",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Michigan",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Minnesota",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Mississippi",North America,Central/Western Europe,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Missouri",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Montana",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Nebraska",North America,North America,Central/Western Europe,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Nevada",North America,North America,North America,North America,Central/Western Europe,North America,North America,North America,North America,North America,North America,North America
"United States, New Hampshire",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, New Jersey",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, New Mexico",North America,North America,North America,Central/Western Europe,North America,North America,North America,North America,North America,North America,North America,North America
"United States, New York",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, North Carolina",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, North Dakota",Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Ohio",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Oklahoma",Central/Western Europe,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Oregon",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Pennsylvania",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Rhode Island",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, South Carolina",North America,Central/Western Europe,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Tennessee",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Texas",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Utah",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Vermont",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Virginia",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Washington",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, West Virginia",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Wisconsin",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
"United States, Wyoming",North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
