location,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,"United States, California","United States, Colorado","United States, Oregon",Norway,Norway,"United States, Michigan","United States, Alaska",Norway,"United States, Vermont",Norway,"United States, Oklahoma","United States, Massachusetts"
Belgium,"United States, California","United States, California","United States, Michigan","United States, Georgia","United States, Oregon",Norway,"United States, Illinois","United States, Vermont","United States, Iowa","United States, Vermont","United States, South Carolina","United States, Ohio"
Brazil,Germany,Canada,"United States, California",Belgium,Belgium,"United States, California",Belgium,"United States, Indiana","United States, Florida","United States, Illinois","United States, Florida","United States, Massachusetts"
Canada,"United States, Alaska",Norway,Norway,Norway,Norway,Norway,"United States, Indiana","United States, Iowa","United States, Vermont","United States, Oklahoma","United States, Iowa","United States, Oklahoma"
Croatia,Belgium,Belgium,Belgium,England,Scotland,Sweden,Belgium,Scotland,Norway,Norway,Norway,"United States, Oregon"
Denmark,"United States, Colorado","United States, Ohio","United States, Ohio","United States, Ohio","United States, Idaho","United States, Minnesota","United States, Alaska","United States, Vermont","United States, Vermont","United States, Vermont","United States, Alaska","United States, Vermont"
England,"United States, Virginia","United States, New Hampshire","United States, California","United States, Ohio","United States, Ohio",Norway,"United States, South Carolina","United States, Oklahoma","United States, Ohio","United States, Oklahoma","United States, Vermont","United States, New Jersey"
Finland,"United States, New York","United States, California","United States, California","United States, California","United States, Ohio","United States, Ohio","United States, Ohio","United States, Alaska","United States, Vermont","United States, Oklahoma","United States, Ohio","United States, Ohio"
France,Belgium,Germany,Belgium,Belgium,Canada,Belgium,Norway,"United States, New York","United States, Michigan","United States, Oklahoma","United States, Oklahoma",Estonia
Germany,"United States, Oregon","United States, North Carolina","United States, Michigan","United States, California",Norway,Norway,"United States, Michigan","United States, Alaska","United States, Vermont","United States, Vermont","United States, Oklahoma","United States, Ohio"
Iceland,Belgium,"United States, New York",Belgium,Iceland,Iceland,Belgium,Germany,"United States, California","United States, Oregon","United States, California","United States, Massachusetts",Iceland
Ireland,Ireland,Belgium,"United States, California","United States, California",Belgium,"United States, Oregon",Norway,Norway,"United States, Michigan","United States, Michigan","United States, Massachusetts",Northern Ireland
Italy,Belgium,Belgium,"United States, Colorado",Norway,"United States, California","United States, California","United States, Michigan",Norway,Norway,"United States, Oklahoma","United States, Vermont",Estonia
Luxembourg,Belgium,Belgium,Belgium,"United States, California",Belgium,Belgium,Belgium,England,England,Scotland,Sweden,Belgium
Netherlands,"United States, California",Canada,"United States, California","United States, California","United States, Ohio","United States, Illinois","United States, Illinois","United States, South Carolina","United States, Iowa","United States, Iowa","United States, New Jersey","United States, Oklahoma"
New Zealand,Belgium,Belgium,Belgium,"United States, California",Norway,"United States, California","United States, Oregon","United States, California","United States, California","United States, California","United States, California","United States, California"
Northern Ireland,Belgium,Belgium,Germany,"United States, California",England,"United States, California","United States, California",Scotland,Denmark,Belgium,Belgium,Ireland
Norway,"United States, Oregon","United States, Colorado","United States, Ohio",Canada,"United States, Ohio","United States, Oregon","United States, Vermont","United States, Alaska","United States, Vermont","United States, Oklahoma","United States, Vermont","United States, Ohio"
Poland,Germany,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,"United States, Maryland","United States, Ohio","United States, Vermont","United States, New Hampshire","United States, Florida"
Scotland,Belgium,Belgium,Belgium,Scotland,Belgium,Norway,"United States, Ohio","United States, California","United States, Oklahoma","United States, Vermont","United States, Ohio","United States, Oklahoma"
Spain,Belgium,Belgium,Belgium,"United States, California","United States, California",Denmark,New Zealand,"United States, Maine","United States, South Carolina","United States, Oklahoma","United States, Iowa","United States, Massachusetts"
Sweden,"United States, Maryland","United States, Maryland","United States, Ohio","United States, Ohio","United States, Ohio","United States, Ohio","United States, Alaska","United States, Vermont","United States, Iowa","United States, Vermont","United States, Vermont","United States, Vermont"
"United States, Alabama","United States, Michigan",Norway,Belgium,"United States, Alabama","United States, Illinois",Belgium,Belgium,"United States, Iowa","United States, Oklahoma","United States, Iowa","United States, Oklahoma","United States, Oregon"
"United States, Alaska",Belgium,"United States, California","United States, California","United States, California","United States, California","United States, Michigan","United States, Vermont","United States, Delaware","United States, Ohio","United States, New Jersey","United States, Missouri","United States, New York"
"United States, Arizona","United States, Michigan",Norway,Norway,Norway,Norway,Sweden,Norway,"United States, Oklahoma","United States, Iowa",Sweden,"United States, Vermont","United States, Vermont"
"United States, Arkansas",Belgium,Trinidad & Tobago,"United States, Michigan","United States, California","United States, Oregon",Belgium,Belgium,Belgium,"United States, Indiana","United States, Vermont","United States, Iowa",Belgium
"United States, California","United States, Ohio",Norway,Norway,Norway,Sweden,Belgium,"United States, Vermont","United States, Vermont","United States, Iowa","United States, Iowa","United States, Iowa","United States, Rhode Island"
"United States, Colorado",Belgium,Norway,Norway,Norway,Norway,Belgium,Belgium,"United States, Oklahoma",Belgium,Norway,"United States, Wyoming","United States, Massachusetts"
"United States, Connecticut",Belgium,"United States, Ohio","United States, Oregon","United States, Alaska",Norway,"United States, Alaska","United States, Alaska","United States, Indiana","United States, Iowa","United States, Iowa","United States, Iowa","United States, Oklahoma"
"United States, Delaware",Belgium,Belgium,Belgium,Belgium,Canada,Denmark,"United States, Ohio","United States, Minnesota","United States, Iowa","United States, Oklahoma",Belgium,Belgium
"United States, Florida","United States, Ohio",Norway,"United States, Alaska",Norway,Sweden,"United States, Alaska","United States, Indiana",Norway,"United States, Iowa","United States, Iowa","United States, Iowa","United States, Iowa"
"United States, Georgia",Belgium,Norway,"United States, Alaska",Norway,Norway,"United States, Minnesota",Norway,Norway,Norway,"United States, Oklahoma","United States, Iowa","United States, Iowa"
"United States, Hawaii",Belgium,"United States, Pennsylvania","United States, Pennsylvania",Belgium,Belgium,"United States, Michigan",Belgium,England,"United States, Vermont",Belgium,Belgium,"United States, California"
"United States, Idaho",Belgium,Norway,"United States, Michigan",Norway,Belgium,"United States, Michigan",Belgium,"United States, Arizona","United States, Minnesota","United States, Iowa","United States, Oklahoma","United States, Vermont"
"United States, Illinois","United States, Alaska",Norway,Norway,Norway,Norway,"United States, Indiana",Sweden,"United States, Vermont","United States, Iowa",Norway,"United States, Oklahoma","United States, Oklahoma"
"United States, Indiana",Belgium,Norway,Norway,Norway,Norway,Belgium,Norway,Norway,"United States, Iowa",Norway,"United States, Iowa",Russia
"United States, Iowa","United States, Georgia",Norway,Norway,Belgium,Belgium,Norway,"United States, Indiana",Norway,"United States, Vermont","United States, Vermont","United States, Vermont","United States, Florida"
"United States, Kansas",Belgium,"United States, Ohio",Canada,Belgium,Canada,"United States, Illinois","United States, Alaska","United States, Indiana",Norway,Belgium,"United States, Virginia",Belgium
"United States, Kentucky",Belgium,Belgium,Norway,Norway,"United States, Minnesota","United States, Utah","United States, Alaska","United States, Oklahoma","United States, Alaska","United States, Iowa","United States, Iowa","United States, Oklahoma"
"United States, Louisiana",England,Belgium,Belgium,"United States, Indiana",Denmark,Belgium,Belgium,"United States, Indiana","United States, Iowa","United States, Iowa","United States, Minnesota","United States, Vermont"
"United States, Maine",Belgium,Belgium,Belgium,"United States, North Carolina",Belgium,"United States, Illinois","United States, Michigan","United States, Indiana","United States, Oklahoma","United States, Oklahoma","United States, Oklahoma",Belgium
"United States, Maryland","United States, Indiana","United States, Ohio",Norway,Switzerland,Switzerland,"United States, Alaska","United States, Alaska","United States, Indiana",Norway,"United States, Oklahoma","United States, Oklahoma","United States, Iowa"
"United States, Massachusetts",Belgium,Norway,"United States, Minnesota",Norway,Norway,"United States, Minnesota","United States, Indiana","United States, Indiana","United States, Iowa","United States, Iowa","United States, Iowa","United States, Iowa"
"United States, Michigan",Belgium,Norway,Norway,Norway,Norway,Norway,"United States, Alaska",Norway,"United States, Iowa","United States, Iowa",Norway,"United States, Iowa"
"United States, Minnesota",Belgium,Norway,"United States, Alaska",Norway,Belgium,Norway,Norway,Norway,"United States, Iowa",Norway,"United States, Iowa","United States, Iowa"
"United States, Mississippi","United States, Mississippi",Belgium,"United States, Ohio","United States, Michigan",Belgium,"United States, Oregon","United States, Michigan","United States, Indiana",Belgium,"United States, Indiana",Belgium,Belgium
"United States, Missouri",Belgium,"United States, Ohio",Norway,Norway,Norway,"United States, Indiana",Norway,Denmark,Norway,Norway,"United States, Vermont","United States, Vermont"
"United States, Montana",Belgium,Belgium,Belgium,Belgium,"United States, California","United States, Oregon",Belgium,"United States, Delaware","United States, Delaware","United States, California",Belgium,"United States, Vermont"
"United States, Nebraska","United States, Ohio","United States, Michigan",Belgium,Belgium,Canada,Netherlands,"United States, Illinois","United States, Vermont","United States, Vermont","United States, Indiana","United States, Vermont","United States, Vermont"
"United States, Nevada",Belgium,Belgium,"United States, Nevada","United States, Michigan","United States, Illinois","United States, Indiana","United States, Illinois","United States, Indiana","United States, Oklahoma","United States, Oklahoma","United States, Oklahoma","United States, Vermont"
"United States, New Hampshire",Belgium,"United States, Delaware","United States, Alaska",Belgium,Norway,"United States, Texas","United States, Alaska","United States, Minnesota","United States, Iowa","United States, Iowa","United States, Alaska","United States, Oklahoma"
"United States, New Jersey","United States, Alaska","United States, Alaska",Norway,Norway,Norway,"United States, Indiana","United States, Indiana","United States, Oklahoma","United States, Iowa","United States, Iowa","United States, Oklahoma","United States, Oklahoma"
"United States, New Mexico",Belgium,Belgium,Belgium,"United States, California",Belgium,Belgium,Belgium,"United States, Vermont","United States, South Carolina","United States, Washington","United States, Vermont","United States, Vermont"
"United States, New York","United States, Alaska",Norway,Norway,Norway,Norway,"United States, Alaska","United States, Indiana","United States, Oklahoma","United States, Iowa","United States, Iowa","United States, Iowa","United States, Iowa"
"United States, North Carolina","United States, Indiana",Norway,Norway,"United States, Alaska",Norway,"United States, Minnesota","United States, Alaska","United States, Oklahoma",Switzerland,"United States, Iowa","United States, Iowa","United States, Iowa"
"United States, North Dakota","United States, California",Belgium,Belgium,Germany,Belgium,"United States, Ohio",Belgium,"United States, Vermont","United States, Oklahoma","United States, Oklahoma","United States, Michigan","United States, Minnesota"
"United States, Ohio","United States, Georgia",Norway,Sweden,"United States, Connecticut",Norway,Norway,Sweden,Norway,"United States, Iowa","United States, Iowa","United States, Iowa","United States, Wyoming"
"United States, Oklahoma",Belgium,Belgium,"United States, Delaware","United States, Illinois","United States, Illinois","United States, Delaware",Belgium,"United States, Vermont","United States, Iowa","United States, Iowa","United States, Iowa","United States, Florida"
"United States, Oregon","United States, Ohio",Norway,Norway,Switzerland,Norway,Norway,"United States, Indiana","United States, Oklahoma",Norway,"United States, Oklahoma","United States, Iowa","United States, Iowa"
"United States, Pennsylvania","United States, Alaska",Norway,Norway,Norway,"United States, Nebraska",Switzerland,Norway,"United States, Oklahoma","United States, Iowa","United States, Iowa","United States, Iowa","United States, Iowa"
"United States, Rhode Island","United States, New Hampshire","United States, California",Belgium,"United States, Oregon",Canada,"United States, Delaware","United States, Indiana","United States, Indiana",Belgium,Belgium,"United States, Oklahoma","United States, Virginia"
