location,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,North America,North America,North America,Northern Europe,Northern Europe,North America,North America,Northern Europe,North America,Northern Europe,North America,North America
Belgium,North America,North America,North America,North America,North America,Northern Europe,North America,North America,North America,North America,North America,North America
Brazil,Central/Western Europe,North America,North America,Central/Western Europe,Central/Western Europe,North America,Central/Western Europe,North America,North America,North America,North America,North America
Canada,North America,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,North America,North America,North America,North America,North America,North America
Croatia,Central/Western Europe,Central/Western Europe,Central/Western Europe,United Kingdom,United Kingdom,Northern Europe,Central/Western Europe,United Kingdom,Northern Europe,Northern Europe,Northern Europe,North America
Denmark,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
England,North America,North America,North America,North America,North America,Northern Europe,North America,North America,North America,North America,North America,North America
Finland,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
France,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,Central/Western Europe,Northern Europe,North America,North America,North America,North America,Northern Europe
Germany,North America,North America,North America,North America,Northern Europe,Northern Europe,North America,North America,North America,North America,North America,North America
Iceland,Central/Western Europe,North America,Central/Western Europe,Northern Europe,Northern Europe,Central/Western Europe,Central/Western Europe,North America,North America,North America,North America,Northern Europe
Ireland,Central/Western Europe,Central/Western Europe,North America,North America,Central/Western Europe,North America,Northern Europe,Northern Europe,North America,North America,North America,United Kingdom
Italy,Central/Western Europe,Central/Western Europe,North America,Northern Europe,North America,North America,North America,Northern Europe,Northern Europe,North America,North America,Northern Europe
Luxembourg,Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,Central/Western Europe,Central/Western Europe,Central/Western Europe,United Kingdom,United Kingdom,United Kingdom,Northern Europe,Central/Western Europe
Netherlands,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
New Zealand,Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,Northern Europe,North America,North America,North America,North America,North America,North America,North America
Northern Ireland,Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,United Kingdom,North America,North America,United Kingdom,Northern Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe
Norway,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America
Poland,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,Central/Western Europe,North America,North America,North America,North America,North America
Scotland,Central/Western Europe,Central/Western Europe,Central/Western Europe,United Kingdom,Central/Western Europe,Northern Europe,North America,North America,North America,North America,North America,North America
