location 1,location 2,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,Belgium,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05
Australia,Brazil,5.640516072615747e-05,5.468847873941132e-05,5.640516072615747e-05,5.640516072615747e-05,5.640516072615747e-05,5.640516072615747e-05,5.640516072615747e-05,5.640516072615747e-05,5.640516072615747e-05,5.640516072615747e-05,5.640516072615747e-05,5.640516072615747e-05
Australia,Canada,0.0001198786599200414,0.0001198786599200414,0.0001198786599200414,0.0001198786599200414,0.0001198786599200414,0.0001198786599200414,0.0001198786599200414,0.0001198786599200414,0.0001198786599200414,0.0001198786599200414,0.0001198786599200414,0.0001198786599200414
Australia,Croatia,5.468847873941132e-05,5.468847873941132e-05,9.807304068162142e-05,0.00023045610693520147,9.807304068162142e-05,9.807304068162142e-05,9.807304068162142e-05,9.807304068162142e-05,9.807304068162142e-05,9.807304068162142e-05,8.688845780675977e-05,8.688845780675977e-05
Australia,Denmark,0.0001198207449433485,0.0001198207449433485,0.0001198207449433485,0.0001198207449433485,0.0001198207449433485,0.0001198207449433485,0.0001198207449433485,0.0001198207449433485,0.0001198207449433485,0.0001198207449433485,0.0001198207449433485,0.0001198207449433485
Australia,England,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05
Australia,Finland,5.468847873941132e-05,9.807304068162142e-05,0.0001637177701260453,9.807304068162142e-05,0.0001637177701260453,9.807304068162142e-05,9.807304068162142e-05,0.0001637177701260453,0.0001637177701260453,0.0001637177701260453,0.0001637177701260453,0.0001637177701260453
Australia,France,5.468847873941132e-05,5.468847873941132e-05,6.797432801053262e-05,5.468847873941132e-05,6.797432801053262e-05,9.807304068162142e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,6.797432801053262e-05,6.797432801053262e-05
Australia,Germany,9.807304068162142e-05,9.807304068162142e-05,9.807304068162142e-05,9.807304068162142e-05,9.807304068162142e-05,9.807304068162142e-05,9.807304068162142e-05,9.807304068162142e-05,9.807304068162142e-05,9.807304068162142e-05,9.807304068162142e-05,9.807304068162142e-05
Australia,Iceland,5.468847873941132e-05,0.00018080722794890758,5.468847873941132e-05,0.0002892073889230636,0.0002892073889230636,5.468847873941132e-05,0.0002892073889230636,0.0002892073889230636,0.0002892073889230636,0.0002892073889230636,5.468847873941132e-05,0.0002892073889230636
Australia,Ireland,9.676182152158175e-05,9.676182152158175e-05,5.468847873941132e-05,0.0001198786599200414,0.0001198786599200414,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,9.676182152158175e-05,9.676182152158175e-05,9.676182152158175e-05,9.676182152158175e-05
Australia,Italy,5.468847873941132e-05,9.644213255240755e-05,5.468847873941132e-05,9.644213255240755e-05,9.644213255240755e-05,9.644213255240755e-05,9.644213255240755e-05,9.644213255240755e-05,9.644213255240755e-05,9.644213255240755e-05,9.644213255240755e-05,9.644213255240755e-05
Australia,Luxembourg,6.16712789390807e-05,6.16712789390807e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05
Australia,Netherlands,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,0.00010805481845729484,0.00010805481845729484,0.00010805481845729484,0.00010805481845729484,0.00010805481845729484,0.00010805481845729484
