style,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Gabon,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,4,4,2,0,1,7,2,18,16,12,19,20
Virgin Islands (British),0,0,0,0,0,0,0,0,0,0,0,0
Singapore,5,2,6,9,8,0,3,0,4,2,5,5
China,8,16,2,3,3,3,6,1,13,5,6,9
Chad,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,2,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0,0,0,0,0,0
Romania,0,3,7,5,1,0,4,0,3,0,4,6
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,3,0,0,0,0,0,0,0,0,2,0
Hong Kong,0,2,2,0,0,0,0,0,0,1,0,1
Guinea,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,10,10,4,3,3,8,6,10,10,10,12,12
Turks and Caicos Islands,1,1,0,0,0,0,0,0,0,0,0,0
Mexico,18,22,25,12,8,23,23,3,14,25,7,9
Northern Marianas,0,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0,0
Laos,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,5,0,0,0,0,1,0,0,0,0,0
Indonesia,0,0,3,2,0,2,0,0,3,0,0,3
Monaco,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,12,12,0,9,1,2,2,4,9,7,9,7
Canada,20,31,27,34,36,32,24,18,17,12,17,12
Jordan,0,0,0,0,0,0,0,0,0,0,0,0
South Ossetia,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,5,13,1,3,1,1,3,2,10,5,10,22
Guernsey,10,0,0,0,0,0,0,0,0,0,0,0
India,8,8,6,4,6,6,0,0,0,0,0,0
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0
Japan,17,23,17,25,24,26,34,19,40,27,26,24
Iran,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,6,5,6,11,5,10,10,7,7,9,3,0
Bulgaria,3,7,5,5,3,5,0,1,0,0,0,2
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,13,0,2,0,5,2,19,13,15,21,12,10
Dem Rep of Congo,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,4,0,0,0,0,0,0,0,0,2,0,0
Nagorno-Karabakh,0,0,0,0,0,0,0,0,0,0,0,0
Italy,25,22,18,20,26,21,19,28,20,17,23,15
Andorra,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0,0,0,1,0,0,0,0,0,0,0,0
Ethiopia,0,8,0,0,0,0,1,3,0,1,0,0
Denmark,36,57,70,45,42,46,57,57,55,44,55,47
French Polynesia,0,0,0,0,5,0,0,0,0,0,0,0
Greece,4,8,12,18,5,18,9,11,15,4,6,14
Sri Lanka,2,4,0,0,0,0,0,0,1,0,0,1
Syria,0,0,0,0,0,0,0,0,0,0,0,0
Germany,82,90,86,80,68,73,84,78,62,65,71,53
Jersey,0,0,0,0,3,0,0,0,1,0,0,0
Armenia,0,0,0,0,2,3,0,0,0,1,2,4
Mozambique,1,0,1,0,0,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,0,0,0,0,0,0
Palestine,0,0,3,0,0,0,0,0,0,0,0,0
Transdniestra,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and The Grenadines,0,2,0,0,0,0,0,0,0,0,0,0
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,0,0,1,0,0,0,0,0,0,0,0,0
Switzerland,15,17,13,19,28,20,22,24,30,20,22,28
Malta,0,0,2,0,0,1,0,1,0,4,0,2
Israel,0,0,0,0,5,0,3,1,0,5,3,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,0,0,3,0,0,0,5,2,1,0,0,0
Chile,5,7,11,1,1,0,2,5,2,2,0,5
Cambodia,3,0,0,0,3,2,0,0,0,3,0,0
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad & Tobago,0,0,5,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,0,4,2,0,0,0,0,0,0,0,0,0
Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,2,0,0,3,0,0,0,0,0,0,0,0
Uruguay,5,3,3,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,2,2,0,0
Dominican Republic,0,0,0,0,2,0,0,0,0,0,0,0
Reunion,0,0,0,0,0,0,0,0,0,0,0,0
Wales,23,21,33,25,27,25,21,22,34,27,22,26
Virgin Islands (U.S.),0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0
Russia,21,5,18,8,14,22,13,18,21,6,11,17
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,0,0,0,0,0,0,0,0,0,0,0,0
Palau,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,0,0,1,0,0,0,0,0,0,0,0,0
Bonaire,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0
Australia,27,20,20,29,22,20,19,22,22,20,20,22
Martinique,0,0,0,0,0,1,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0
Tibet,0,0,0,0,0,0,0,0,0,0,0,0
Congo,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,2,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2,13,7,8,14,8,7,0,0,0,1,0
Tunisia,1,1,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,11,5,7,5,8,10,6,6,6,7,4,10
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,0
Spain,20,15,10,17,22,15,15,13,24,20,25,20
Abkhazia,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde Islands,0,0,0,0,0,0,0,0,0,0,0,0
East Timor,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,6,0,0,2,0,0,2,5,5
Austria,24,23,30,10,19,12,20,35,29,35,24,28
Bolivia,0,3,0,0,0,1,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,0,0,0,0,0,3,0,0,0,0,0,0
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,12,17,12,12,12,12,12,12,12,12,12,12
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,0,6,0,0,0,0,0,0,0,0,0,0
