style,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Pale Lager,106,118,108,80,136,134,104,95,99,87,72,65
Golden Ale/Blond Ale,66,74,71,53,64,65,51,59,64,69,55,71
Bitter,56,66,66,42,51,60,43,44,25,23,18,22
Irish Ale,7,0,1,0,0,0,0,3,3,1,5,0
Stout,28,33,27,35,37,31,30,30,35,40,49,48
American Pale Ale,23,22,34,48,47,50,88,109,110,110,102,99
Sweet Stout,0,2,0,0,0,0,0,0,1,2,5,8
Imperial IPA,17,10,23,40,50,50,58,50,55,60,69,58
Pilsener,117,102,100,108,78,93,78,83,59,65,62,76
India Pale Ale (IPA),42,65,68,82,76,100,112,116,154,132,144,132
Dry Stout,13,7,8,4,3,0,3,1,0,0,4,0
Dortmunder/Helles,29,23,23,26,20,24,27,14,20,17,6,10
Porter,58,66,63,62,66,66,77,67,69,54,63,76
Saison,7,0,5,6,17,18,25,45,63,94,66,81
Foreign Stout,3,1,0,0,2,0,0,0,0,0,0,0
Fruit Beer,38,48,55,45,38,38,34,35,27,36,39,32
Imperial Stout,12,27,75,61,76,85,93,93,79,106,105,107
Mild Ale,22,20,4,12,14,7,6,4,2,2,2,1
Berliner Weisse,0,0,0,0,0,0,0,0,0,2,11,20
German Hefeweizen,69,66,52,47,56,64,44,44,48,33,24,17
California Common,0,0,0,0,6,0,0,0,0,0,0,0
Black IPA,0,0,0,0,0,2,7,12,16,27,37,23
Wheat Ale,0,0,6,3,1,0,0,0,2,0,1,0
Amber Ale,11,14,6,18,11,7,10,27,27,30,38,31
Abbey Tripel,46,45,44,34,45,34,42,45,40,33,30,23
Kölsch,4,0,0,1,0,2,0,0,0,0,0,0
Altbier,0,0,2,0,0,0,0,0,0,0,0,0
Smoked,0,4,0,6,14,8,3,1,0,4,5,6
Bière de Garde,9,7,10,8,7,7,6,7,6,7,7,5
Premium Bitter/ESB,62,46,41,49,43,27,32,22,11,10,5,5
Specialty Grain,0,0,0,0,0,0,0,0,0,0,0,0
Sour/Wild Ale,0,0,0,10,0,5,2,7,28,37,59,76
Spice/Herb/Vegetable,19,23,26,42,44,30,41,35,36,24,30,22
Belgian Ale,63,64,60,62,50,59,78,58,63,57,54,44
Belgian Strong Ale,82,78,86,64,81,84,84,77,74,77,67,63
Old Ale,7,3,8,9,5,5,3,1,0,0,0,0
Dunkelweizen,4,0,6,4,4,2,3,1,0,0,0,0
English Strong Ale,35,41,24,27,18,19,16,10,5,2,0,0
Schwarzbier,1,2,6,7,0,3,0,0,1,1,0,0
Baltic Porter,10,2,3,0,5,0,0,4,2,1,6,10
Witbier,19,29,32,19,25,19,16,17,20,21,19,11
Barley Wine,15,7,17,31,17,17,9,15,9,12,14,24
Amber Lager/Vienna,26,33,23,26,12,7,0,10,5,6,0,5
Scottish Ale,5,11,1,3,3,0,0,0,0,0,0,0
Brown Ale,19,15,11,14,6,6,7,5,12,7,9,9
Traditional Ale,0,1,0,2,3,0,0,0,0,0,0,0
American Strong Ale ,0,0,0,3,3,2,0,0,0,1,0,4
Grodziskie/Gose/Lichtenhainer,0,0,0,0,0,0,0,0,0,0,8,11
Oktoberfest/Märzen,6,6,12,8,10,5,5,7,6,3,3,5
Scotch Ale,3,3,0,0,0,1,0,0,0,0,0,0
Low Alcohol,10,2,9,5,2,0,4,0,0,0,0,0
German Kristallweizen,0,0,0,0,0,0,0,0,0,0,0,0
Doppelbock,2,6,4,5,3,3,5,2,2,1,1,1
Dunkel/Tmavý,52,42,34,41,26,29,29,21,17,13,9,7
Sahti/Gotlandsdricke/Koduõlu,0,0,0,0,0,0,0,0,0,0,0,0
Imperial Pils/Strong Pale Lager,25,19,19,14,4,3,4,3,0,0,0,0
Abbey Dubbel,33,29,17,24,24,20,19,18,13,7,7,0
Cream Ale,0,0,0,0,0,0,0,0,0,0,0,0
Abt/Quadrupel,1,10,0,2,6,6,18,20,11,6,11,9
Zwickel/Keller/Landbier,6,6,7,6,9,13,11,7,7,6,8,10
Weizen Bock,7,0,1,4,0,0,0,0,0,0,0,0
Lambic Style - Fruit,16,18,13,10,5,9,1,3,3,5,3,1
Eisbock,0,0,0,0,0,0,0,0,0,0,0,0
Mead,0,0,0,0,0,0,0,0,0,0,0,0
Dunkler Bock,6,8,10,10,7,5,5,4,2,0,0,0
Sour Red/Brown,6,6,0,6,0,0,0,0,0,0,0,2
Heller Bock,4,1,7,2,3,4,1,3,3,2,2,4
Malt Liquor,0,0,0,0,0,0,0,0,0,0,0,0
Lambic Style - Gueuze,4,0,3,3,0,5,0,0,0,1,0,0
Lambic Style - Unblended,0,0,0,0,0,0,0,0,0,0,0,0
Lambic Style - Faro,0,0,0,0,0,0,0,0,0,0,0,0
