style,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Pale Lager,31,6,14,7,7,0,15,1,0,1,1,2
Golden Ale/Blond Ale,9,15,11,16,0,0,0,0,0,0,0,0
Bitter,9,8,7,10,8,0,0,0,0,0,0,0
Irish Ale,0,0,0,0,0,0,0,0,0,0,0,0
Stout,22,20,18,20,5,3,0,16,7,1,3,4
American Pale Ale,12,9,9,0,15,4,2,5,6,9,11,13
Sweet Stout,0,13,0,1,4,0,9,2,4,11,7,12
Imperial IPA,82,85,119,100,81,132,137,106,113,103,112,111
Pilsener,30,9,0,0,0,0,16,0,0,2,0,0
India Pale Ale (IPA),32,39,45,45,41,37,17,11,11,9,10,26
Dry Stout,10,6,10,0,0,0,2,0,5,0,2,0
Dortmunder/Helles,2,0,0,0,0,0,0,0,0,0,0,0
Porter,18,51,19,9,36,27,13,9,10,7,6,11
Saison,2,2,19,2,18,17,5,24,18,11,14,10
Foreign Stout,7,31,7,2,0,7,15,9,18,13,24,21
Fruit Beer,0,0,5,0,0,0,0,0,0,0,0,0
Imperial Stout,112,154,204,188,204,196,193,213,244,239,220,220
Mild Ale,7,7,0,0,0,0,0,0,0,0,0,0
Berliner Weisse,0,0,0,0,0,2,0,0,0,0,0,0
German Hefeweizen,32,25,6,8,4,11,0,2,0,0,0,6
California Common,0,0,0,0,0,0,0,0,0,0,0,0
Black IPA,6,0,0,18,45,43,72,58,60,43,29,9
Wheat Ale,0,0,0,1,0,0,6,0,0,0,0,0
Amber Ale,7,2,0,14,0,0,0,0,0,0,0,1
Abbey Tripel,39,38,52,20,47,23,15,21,4,0,6,22
Kölsch,0,0,0,0,0,0,0,0,0,0,0,0
Altbier,8,0,6,0,0,0,0,0,0,0,0,0
Smoked,3,14,0,5,29,5,6,10,3,2,5,4
Bière de Garde,2,7,4,3,0,6,2,0,2,0,0,0
Premium Bitter/ESB,16,11,2,19,2,0,2,0,0,0,0,0
Specialty Grain,0,0,0,2,0,0,0,0,0,0,0,0
Sour/Wild Ale,38,40,79,58,28,47,60,53,57,37,29,25
Spice/Herb/Vegetable,8,4,0,3,0,6,0,4,0,0,0,4
Belgian Ale,37,24,9,20,13,10,0,8,3,3,15,3
Belgian Strong Ale,108,110,99,65,63,48,37,37,26,22,9,19
Old Ale,6,27,10,19,19,35,17,26,32,13,38,28
Dunkelweizen,7,0,9,0,0,0,0,0,0,0,0,0
English Strong Ale,16,10,5,10,2,2,11,0,0,0,0,0
Schwarzbier,3,0,0,0,7,0,0,0,0,0,0,0
Baltic Porter,47,29,45,8,20,7,9,19,13,29,44,43
Witbier,1,13,5,0,2,0,3,0,1,0,0,0
Barley Wine,31,57,72,72,42,56,53,48,70,78,59,60
Amber Lager/Vienna,0,0,0,0,0,0,0,0,0,0,0,0
Scottish Ale,0,0,0,0,0,0,0,0,0,0,0,0
Brown Ale,0,0,0,0,0,0,0,0,0,0,0,0
Traditional Ale,0,4,0,0,0,0,0,1,0,0,0,0
American Strong Ale ,37,50,41,51,63,58,72,73,88,57,62,65
Grodziskie/Gose/Lichtenhainer,0,0,0,3,13,0,0,5,1,7,0,0
Oktoberfest/Märzen,2,0,2,0,0,0,0,0,0,0,0,0
Scotch Ale,2,10,9,1,0,0,0,8,0,12,3,1
Low Alcohol,0,0,0,0,0,0,0,0,0,0,0,0
German Kristallweizen,0,0,0,0,0,0,0,0,0,0,0,0
Doppelbock,25,16,5,7,5,9,3,0,0,0,0,3
Dunkel/Tmavý,9,3,0,6,0,0,0,0,2,0,0,0
Sahti/Gotlandsdricke/Koduõlu,0,0,0,9,0,1,1,0,0,0,0,1
Imperial Pils/Strong Pale Lager,0,0,0,5,0,0,0,0,0,0,0,0
Abbey Dubbel,22,38,37,17,25,32,10,10,0,10,9,0
Cream Ale,0,0,0,0,0,0,0,0,0,0,0,0
Abt/Quadrupel,111,158,148,141,156,152,179,209,185,164,167,144
Zwickel/Keller/Landbier,0,3,0,0,0,0,0,0,0,0,0,0
Weizen Bock,17,22,15,26,24,9,41,30,23,44,15,8
Lambic Style - Fruit,20,8,20,6,22,40,33,45,45,85,70,101
Eisbock,22,10,24,28,24,25,23,67,58,42,20,19
Mead,0,0,0,0,0,0,0,0,0,0,16,1
Dunkler Bock,5,5,0,3,0,0,0,2,0,0,0,0
Sour Red/Brown,33,52,36,79,52,39,48,36,48,43,77,75
Heller Bock,0,0,0,0,0,0,0,0,0,0,0,0
Malt Liquor,0,0,0,0,0,0,0,0,0,0,0,0
Lambic Style - Gueuze,57,40,55,58,49,93,118,103,117,163,162,148
Lambic Style - Unblended,36,27,22,41,81,67,46,48,60,74,89,47
Lambic Style - Faro,0,1,0,2,0,3,0,0,0,0,0,0
