location,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,Lager,Lager,Lager,Lager,Lager,Lager,Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Belgium,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Stout
Brazil,Lager,Lager,Lager,Lager,Lager,Lager,Lager,Lager,Lager,Lager,Lager,Lager
Canada,Lager,Lager,Lager,Lager,Lager,Lager,Pale Ale,Lager,Pale Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale
Croatia,Lager,Lager,Lager,Lager,Pilsener,Lager,Lager,Lager,Lager,Lager,Lager,Lager
Denmark,Pilsener,Pilsener,Pilsener,Lager,Lager,Lager,Pilsener,Lager,Stout,Lager,Lambic & Sour Ale,Stout
England,Bitter,Bitter,Bitter,Bitter,Bitter,Bitter,Bitter,Bitter,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Finland,Lager,Lager,Lager,Lager,Lager,Lager,Lager,Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale
France,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Lager,Belgian Ale,Lager,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale
Germany,Pilsener,Pilsener,Pilsener,Pilsener,Pilsener,Pilsener,Pilsener,Pilsener,Pilsener,Pilsener,Pilsener,Pilsener
Iceland,Belgian Ale,Belgian Ale,Lager,Pale Ale,Lager,Pale Ale,Pale Ale,Stout,Stout,Pale Ale,Pale Ale,Pale Ale
Ireland,Lager,Lager,Lager,Lager,Lager,Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Italy,Lager,Lager,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Pale Ale,Pale Ale
Luxembourg,Bitter,Bitter,Bitter,Belgian Ale,Belgian Ale,Belgian Ale,Lager,Belgian Ale,Belgian Ale,Lager,Pale Ale,Pale Ale
