location,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Bock,Belgian Ale,Lambic & Sour Ale,Stout,Belgian Ale
Belgium,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Stout,Brown Ale,Stout,Stout,Stout
Brazil,Wheat Beer,Belgian Ale,Belgian Ale,Belgian Ale,Stout,Lambic & Sour Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale
Canada,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Croatia,Belgian Ale,Porter,Belgian Ale,Stout,Stout,Stout,Stout,Stout,Stout,Stout,Belgian Ale,Lambic & Sour Ale
Denmark,Belgian Ale,Stout,Stout,Stout,Stout,Stout,Lambic & Sour Ale,Stout,Stout,Stout,Lambic & Sour Ale,Lambic & Sour Ale
England,Belgian Ale,Pale Ale,Lambic & Sour Ale,Belgian Ale,Stout,Bock,Belgian Ale,Belgian Ale,Belgian Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale
Finland,Stout,Belgian Ale,Stout,Lambic & Sour Ale,Stout,Stout,Stout,Stout,Bock,Stout,Belgian Ale,Lambic & Sour Ale
France,Belgian Ale,Bock,Porter,Stout,Belgian Ale,Belgian Ale,Stout,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Stout
Germany,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale,Stout,Belgian Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale
Iceland,Belgian Ale,Belgian Ale,Stout,Stout,Alternative/Traditional,Pale Ale,Pale Ale,Stout,Stout,Stout,Pale Ale,Stout
Ireland,Belgian Ale,Belgian Ale,Stout,Pale Ale,Belgian Ale,Belgian Ale,Bock,Belgian Ale,Stout,Belgian Ale,Belgian Ale,Stout
Italy,Bock,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale
Luxembourg,Brown Ale,Stout,Stout,Lambic & Sour Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Stout,Stout,Stout,Pale Ale
Netherlands,Stout,Belgian Ale,Stout,Stout,Brown Ale,Stout,Brown Ale,Belgian Ale,Stout,Stout,Stout,Stout
New Zealand,Belgian Ale,Stout,Porter,Stout,Belgian Ale,Pale Ale,Brown Ale,Belgian Ale,Alternative/Traditional,Scottish Ale,Belgian Ale,Stout
Northern Ireland,Pale Ale,Pale Ale,Stout,Stout,Stout,Pale Ale,Stout,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout
Norway,Belgian Ale,Stout,Stout,Stout,Stout,Stout,Stout,Stout,Stout,Stout,Lambic & Sour Ale,Stout
Poland,Bock,Stout,Belgian Ale,Lambic & Sour Ale,Stout,Belgian Ale,Belgian Ale,Belgian Ale,Brown Ale,Bock,Bock,Lambic & Sour Ale
Scotland,Stout,Belgian Ale,Belgian Ale,Bitter,Pale Ale,Stout,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Stout,Stout
Spain,Pale Ale,Porter,Stout,Stout,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Stout
Sweden,Stout,Stout,Stout,Stout,Lambic & Sour Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Stout,Lambic & Sour Ale,Lambic & Sour Ale
"United States, Alabama",Belgian Ale,Lambic & Sour Ale,Belgian Ale,Belgian Ale,Bock,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout,Lambic & Sour Ale
