location 1,location 2,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,Belgium,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,Brazil,0.5,0.2,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Australia,Canada,0.5,1.0,0.2,0.5,0.5,0.5,0.2,0.5,0.5,0.2,0.2,0.0
Australia,Croatia,0.5,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5
Australia,Denmark,0.2,0.2,0.2,0.5,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
Australia,England,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.5,0.5,0.2
Australia,Finland,0.5,0.5,0.5,0.5,0.2,0.2,0.5,0.5,0.5,0.5,0.5,0.5
Australia,France,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.2
Australia,Germany,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2
Australia,Iceland,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.5
Australia,Ireland,0.2,0.5,0.2,0.5,0.5,0.5,0.5,0.2,0.5,0.5,0.2,0.5
Australia,Italy,0.5,0.5,0.0,0.2,0.0,0.2,0.2,0.2,0.5,0.2,0.5,0.5
Australia,Luxembourg,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2
Australia,Netherlands,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,New Zealand,0.5,0.5,1.0,0.5,0.5,1.0,0.2,0.5,0.5,0.5,0.5,0.5
Australia,Northern Ireland,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.5,0.5,0.5,0.2,0.5
Australia,Norway,0.5,0.5,0.5,0.5,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.2
Australia,Poland,0.5,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.5,0.5,0.2,0.2
Australia,Scotland,0.5,0.2,0.5,0.2,0.5,0.5,0.2,0.2,0.2,0.5,0.5,0.5
Australia,Spain,0.2,0.2,0.5,0.5,0.5,0.5,0.2,0.5,0.5,0.5,0.5,1.0
Australia,Sweden,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2
Australia,"United States, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.5
Australia,"United States, Alaska",0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0
Australia,"United States, Arizona",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
Australia,"United States, Arkansas",0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2
Australia,"United States, California",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
Australia,"United States, Colorado",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,"United States, Connecticut",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.5
Australia,"United States, Delaware",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
Australia,"United States, Florida",0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0
Australia,"United States, Georgia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
Australia,"United States, Hawaii",0.0,0.0,0.2,0.0,0.0,0.2,0.5,0.2,0.2,0.2,0.2,0.2
Australia,"United States, Idaho",0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.5,0.5,0.2,0.0,0.2
Australia,"United States, Illinois",0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
Australia,"United States, Indiana",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0
Australia,"United States, Iowa",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.2,0.2
Australia,"United States, Kansas",0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0
Australia,"United States, Kentucky",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.5
Australia,"United States, Louisiana",0.5,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2
Australia,"United States, Maine",0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2,0.2,0.5
Australia,"United States, Maryland",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
Australia,"United States, Massachusetts",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
Australia,"United States, Michigan",0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
Australia,"United States, Minnesota",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.5
Australia,"United States, Mississippi",0.2,0.2,0.0,0.2,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0
Australia,"United States, Missouri",0.0,0.0,0.0,0.2,0.2,0.0,0.5,0.5,0.0,0.0,0.0,0.0
Australia,"United States, Montana",0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.5,0.2,0.2,0.5
Australia,"United States, Nebraska",0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.2,0.0,0.0
Australia,"United States, Nevada",0.2,0.0,0.5,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.2
Australia,"United States, New Hampshire",0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
Australia,"United States, New Jersey",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.5
Australia,"United States, New Mexico",0.0,0.0,0.0,0.5,0.0,0.2,0.2,0.5,0.2,0.0,0.2,0.0
Australia,"United States, New York",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
Australia,"United States, North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
Australia,"United States, North Dakota",0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.5,0.5,0.5,0.2
Australia,"United States, Ohio",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0
Australia,"United States, Oklahoma",0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0
Australia,"United States, Oregon",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
Australia,"United States, Pennsylvania",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
Australia,"United States, Rhode Island",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.5
Australia,"United States, South Carolina",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
Australia,"United States, Tennessee",0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.5,0.5,0.2,0.0,0.2
Australia,"United States, Texas",0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,"United States, Utah",0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.5,0.2,0.2,0.5
Australia,"United States, Vermont",0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.2,0.0
Australia,"United States, Virginia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
Australia,"United States, Washington",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.2
Australia,"United States, West Virginia",0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Australia,"United States, Wisconsin",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2
